Fondo,Honorarios Adm. SG
Dracma Multiestrategia - Clase B,2.02
Dracma Multiestrategia - Clase C,1.77
Dracma Multiestrategia - Clase D,1.77
Fundcorp Crecimiento - Clase A,3
Fundcorp Crecimiento - Clase B,3
Fundcorp Crecimiento - Clase C,3
GMC Retorno Total III - Clase F,0.7
GMC Retorno Total IV - Clase B,3
GMC Retorno Total IV - Clase C,3
GMC Retorno Total VI - Clase C,4
GSS III - Clase A,0.775
GSS III - Clase B,1.25
HF Balanceado - Clase C,1.5254
HF Balanceado - Clase G,1.5254
HF Balanceado - Clase I,1.5254
IAM Renta Mixta - Clase A,5.1
IAM Renta Mixta - Clase B,3.1
IAM Renta Mixta - Clase C,3.1
IAM Renta Mixta - Clase D,3
IEB Multiestrategia II - Clase B,0
IEB Multiestrategia II - Clase Ley N° 27.743,0
IEB Multiestrategia III - Clase A,2.5
IEB Multiestrategia III - Clase B,2.5
IEB Multiestrategia III - Clase Ley N° 27.743,0
IEB Multiestrategia IV - Clase A,1
IEB Multiestrategia IV - Clase B,1
IEB Multiestrategia IV - Clase Ley N° 27.743,0
IEB Multiestrategia V - Clase A,2
IEB Multiestrategia V - Clase B,1.5
IEB Multiestrategia V - Clase Ley N° 27.743,2
MAF Gestión Activa - Clase A,2.24
MAF Gestión Activa - Clase B,0.65
MAF Gestión Activa - Clase C,2.1
MAF Gestión Activa - Clase D,0.76
Pellegrini Integral - Clase A,2.75
Pellegrini Integral - Clase B,2.375
Pellegrini Retorno Total - Clase A,2.375
Pellegrini Retorno Total - Clase B,0.32
Pionero Horizonte - Clase A,0.9
Pionero Horizonte - Clase B,0.9
Pionero Horizonte - Clase C,0.9
Pionero Horizonte - Clase D Ley N° 27.743,0.9
Pionero Patrimonio I - Clase A,2.655
Pionero Patrimonio I - Clase B,2.16
Pionero Patrimonio I - Clase C Ley N° 27.743,2.4075
Pionero Recovery - Clase A,3.33
Pionero Recovery - Clase B,2.7
Pionero Recovery - Clase C,0
Premier Commodities - Clase A,2.576
Premier Commodities - Clase B,3.22
Premier Commodities - Clase C,1.104
Premier Estrategico - Clase A,1.0396
Premier Estrategico - Clase B,0
Premier Estrategico - Clase C,0
Premier Inversion - Clase A,0.552
Premier Inversion - Clase B,2.76
Premier Inversion - Clase C,0.552
Probolsa,2
Quiron Renta Mixta - Clase A,3
Quiron Renta Mixta - Clase B,3
Quiron Renta Mixta - Clase C,3
Quiron Renta Mixta - Clase Ley Nº 27.743,3
SBS Balanceado - Clase A,3.5
SBS Balanceado - Clase B,2.5
SBS Balanceado - Clase Ley N° 27.743,3.5
Schroder Renta Global - Clase A,0.6
Schroder Renta Global - Clase B,0.55
Schroder Renta Global - Clase C,0.6
SF Value - Clase A,2
Toronto Trust Balanceado - Clase A,2.508
Toronto Trust Balanceado - Clase B,2.208
Toronto Trust Balanceado - Clase C,2.308
Wise Capital Focus I - Clase A,1.37
Wise Capital Focus I - Clase B,1.37
Wise Capital Focus II - Clase A,0
Wise Capital Focus II - Clase B,0
Wise Capital Foreign Equity - Clase A,5
Wise Capital Foreign Equity - Clase B,5
Wise Capital Foreign Equity - Clase C,5
Wise Capital Legacy - Clase A,0.5
Wise Capital Legacy - Clase B,5
Wise Capital Multistrategy - Clase A,5
Wise Capital Multistrategy - Clase B,5
Wise Capital Multistrategy - Clase C,5
Wise Capital Multistrategy - Clase D,3
Wise Capital Multistrategy - Clase J Ley N° 27.743,5
Adcap Gestión Estratégica I - Clase A,1.9
Adcap Gestión Estratégica I - Clase B,1.9
Adcap Gestión Estratégica I - Clase Ley N° 27.743,1.9
Allaria Calificado - Clase A,0
Allaria Calificado - Clase B,1
Allaria Calificado - Clase C,0
Allaria Calificado - Clase D,0
Allaria Calificado II - Clase A,0.4
Allaria Calificado II - Clase B,0.4
Allaria Calificado II - Clase C,0.4
Allaria Calificado II - Clase D,0
Allaria Cobertura Dinamica - Clase A,2.5
Allaria Cobertura Dinamica - Clase B,2.25
Allaria Cobertura Dinamica - Clase C,2.02
Allaria Dinamico II - Clase A,2.5
Allaria Dinamico II - Clase B,2.27
Allaria Dinamico II - Clase C,2.27
Allaria Dinamico II - Clase D,0.6
Allaria Diversificado - Clase A,3.75
Allaria Diversificado - Clase B,3
Allaria Diversificado - Clase C,3
Allaria Diversificado - Clase Ley Nº 27.743,3.75
Allaria Gestión Dinámica - Clase A,0
Allaria Gestión Dinámica - Clase B,0
Allaria Gestión Dinámica - Clase C,0
Allaria Gestion II - Clase A,1.5
Allaria Gestion II - Clase B,1.5
Allaria Gestion II - Clase C,0.7
Allaria Gestion IV - Clase A,1.75
Allaria Gestion IV - Clase B,1.75
Allaria Gestion IV - Clase C,0
Allaria Patrimonio IV - Clase A,0
Allaria Patrimonio IV - Clase B,0
Allaria Patrimonio IV - Clase C,0
Allaria Renta Mixta - Clase A,0
Allaria Renta Mixta - Clase B,0
Allaria Renta Mixta - Clase C,0
Avantia Multiestrategia - Clase A,2.75
Avantia Multiestrategia - Clase B,2.75
Avantia Multiestrategia - Clase C,2
Avantia Multiestrategia - Clase X Ley N°27.743,2.75
Avantia Multiestrategia - Clase Y Ley N°27.743,2.75
Axis Brio Valores I - Clase A,3.6
Axis Brio Valores I - Clase B,3.6
Axis Brio Valores I - Clase X Ley N° 27.743,3.6
Axis Brio Valores I - Clase Y Ley N° 27.743,3.6
Axis Capital 1 - Clase B,0.9
Axis Estrategia 10 - Clase A,2.5
Axis Estrategia 10 - Clase B,2.5
Axis Estrategia 11 - Clase A,3.6
Axis Estrategia 11 - Clase B,3.6
Axis Estrategia 12 - Clase A,1.2
Axis Estrategia 12 - Clase B,1.2
Axis Estrategia 12 - Clase X Ley N° 27.743,1.2
Axis Estrategia 12 - Clase Y Ley N° 27.743,1.2
Axis Estrategia 13 - Clase A,0.95
Axis Estrategia 13 - Clase B,0.95
Axis Estrategia 15 - Clase A,1.25
Axis Estrategia 15 - Clase B,1.25
Axis Estrategia 16 - Clase A,3.1
Axis Estrategia 16 - Clase B,3.1
Axis Estrategia 18 - Clase A,2
Axis Estrategia 18 - Clase B,1.2
Axis Estrategia 18 - Clase X Ley N° 27.743,2
Axis Estrategia 18 - Clase Y Ley N° 27.743,1.2
Axis Estrategia 19 - Clase A,2.6
Axis Estrategia 19 - Clase B,2.45
Axis Estrategia 20 - Clase A,3.5
Axis Estrategia 20 - Clase B,3.5
Axis Estrategia 20 - Clase X Ley N° 27.743,3.5
Axis Estrategia 20 - Clase Y Ley N° 27.743,3.5
Axis Estrategia 21 - Clase A,3
Axis Estrategia 21 - Clase B,3
Axis Estrategia 28 - Clase A,2.25
Axis Estrategia 28 - Clase B,2.25
Axis Estrategia 28 - Clase C,2
Axis Estrategia 29 - Clase A,2.7
Axis Estrategia 29 - Clase B,2.7
Axis Estrategia 29 - Clase C,2.7
Axis Estrategia 29 - Clase X Ley N° 27.743,2.7
Axis Estrategia 29 - Clase Y Ley N° 27.743,2.7
Axis Estrategia 31 - Clase A,2
Axis Estrategia 31 - Clase B,2
Axis Estrategia 31 - Clase C,2
Axis Estrategia 31 - Clase X  Ley N° 27.743,2
Axis Estrategia 31 - Clase Y  Ley N° 27.743,2
Axis Estrategia 6 - Clase A,2.75
Axis Estrategia 6 - Clase B,2.6
Axis Estrategia 6 - Clase X Ley N° 27.743,2.75
Axis Estrategia 6 - Clase Y Ley N° 27.743,2.6
Axis Gestión 1 - Clase A,1
Axis Gestión 1 - Clase B,1
Axis Gestión 1 - Clase C,1
Axis Gestión 1 - Clase X Ley N° 27.743,1
Axis Gestión 1 - Clase Y Ley N° 27.743,1
Axis Gestión 2 - Clase A,2.5
Axis Gestión 2 - Clase B,2.5
Axis Gestión 2 - Clase C,2.5
Axis Gestión 3 - Clase A,1.6
Axis Gestión 3 - Clase B,1.6
Axis Gestión 3 - Clase C,1.6
Axis Multiplo Bursatil Retorno Absoluto - Clase A,3.6
Axis Multiplo Bursatil Retorno Absoluto - Clase B,3.2
Axis Multiplo Bursatil Retorno Absoluto - Clase X Ley N° 27.743,3.6
Axis Multiplo Bursatil Retorno Absoluto - Clase Y Ley N° 27.743,3.2
Axis S&C Argentina Absolute Return - Clase A,3
Axis S&C Argentina Absolute Return - Clase B,3
Axis S&C Argentina Absolute Return - Clase X Ley N° 27.743,0
Axis S&C Argentina Absolute Return - Clase Y Ley N° 27.743,3
Bamba Agronegocios - Clase A,2.7
Bamba Agronegocios - Clase B,2.45
Bamba Agronegocios - Clase X Ley N° 27.743,2.5
Bamba Agronegocios - Clase Y Ley N° 27.743,2.45
Bursátil X Retorno Absoluto - Clase A,1.2
Bursátil X Retorno Absoluto - Clase B,1.2
Bursátil X Retorno Absoluto - Clase C,1.2
Bursátil X Retorno Absoluto - Clase X Ley N° 27.743,1.2
Bursátil X Retorno Absoluto - Clase Y Ley N° 27.743,1.2
Chimpay Pesos Moderado - Clase A,3.25
Chimpay Pesos Moderado - Clase B,2.5
Chimpay Pesos Moderado - Clase C,2
Cocos Rendimiento - Clase A,2.5
Cocos Rendimiento - Clase B,2.5
Cocos Rendimiento - Clase C,0
Cocos Rendimiento - Clase D,0
Compass Renta Mixta V - Clase A,0.5
Compass Renta Mixta V - Clase B,0.5
Compass Renta Mixta V - Clase C,0.5
Compass Renta Mixta V - Clase H Ley N° 27.743,0.5
Compass Renta Mixta V - Clase I Ley N° 27.743,0.5
Compass Renta Mixta VI - Clase A,3
Compass Renta Mixta VI - Clase B,2
Compass Renta Mixta VI - Clase C,1.25
Compass Renta Mixta VI - Clase H - Ley Nº 27.743,3
Compass Renta Mixta VI - Clase I - Ley Nº 27.743,2
Consultatio Estrategico - Clase A,0.6
Consultatio Estrategico - Clase B,0.6
Consultatio Estrategico - Clase C,0
Consultatio Gestion I - Clase A,1.9
Consultatio Gestion I - Clase B,2
Consultatio Gestion I - Clase C,1.9
Consultatio Gestion I - Clase D,0.9
Consultatio Gestion IV - Clase A,3
Consultatio Gestion IV - Clase B,0.45
Consultatio Gestion IV - Clase C,3
Consultatio Gestion V - Clase A,0.8
Consultatio Gestion V - Clase B,0.8
Consultatio Gestion V - Clase C,1
Consultatio Gestión X - Clase A,5
Consultatio Gestión X - Clase B,5
Consultatio Gestión X - Clase C,5
Consultatio Gestión X - Clase D,0.7
Consultatio One Ahorro - Clase A,0
Consultatio One Ahorro - Clase B,0.6
Consultatio One Ahorro - Clase C,0.6
Consultatio One Ahorro - Clase D,0.6
Consultatio Renta Balanceada - Clase A,3
Consultatio Renta Balanceada - Clase B,3
Consultatio Renta Balanceada - Clase C,0.5
CYC Renta Mixta - Clase A,2
CYC Renta Mixta - Clase B,2
CYC Renta Mixta - Clase C,2
CYC Renta Mixta - Clase D,2
CYC Renta Mixta - Clase E Ley N° 27.743,2
FBA Renta Mixta - Clase A,2.879
FBA Renta Mixta - Clase B,1.829
FBA Renta Mixta - Clase J Ley N° 27.743,2.879
FBA Renta Mixta - Clase K Ley N° 27.743,1.829
Gainvest Balanceado II - Clase A,0
Gainvest Balanceado II - Clase B,0
Gainvest Balanceado II - Clase C,0
Gainvest Balanceado III - Clase A,0
Gainvest Balanceado III - Clase B,1
Gainvest Balanceado III - Clase C,0
Gainvest Balanceado V - Clase A,0
Gainvest Balanceado V - Clase B,0.6
Gainvest Balanceado V - Clase C,0
Gainvest Balanceado VI - Clase A,1
Gainvest Balanceado VI - Clase B,1
Gainvest Balanceado VI - Clase C,1
Gainvest Balanceado VII - Clase A,0
Gainvest Balanceado VII - Clase B,0.55
Gainvest Balanceado VII - Clase C,0
Gainvest Capital III - Clase A,1
Gainvest Capital III - Clase B,1
Gainvest Global IX - Clase A,0
Gainvest Global IX - Clase B,0
Gainvest Global IX - Clase C,0
Gainvest Global V - Clase A,3
Gainvest Global V - Clase B,3
Gainvest Global V - Clase C,2
Gainvest Global V - Clase Ley N° 27.743,3
Gainvest Global VI - Clase A,1.3
Gainvest Global VI - Clase B,1.3
Gainvest Global VI - Clase C,1.3
Gainvest Global VII - Clase A,2.5
Gainvest Global VII - Clase B,2.5
Gainvest Global VII - Clase C,2.5
Gainvest Global VIII - Clase A,3
Gainvest Global VIII - Clase B,2.5
Gainvest Global VIII - Clase C,2
Galileo Multimercado IV - Clase A,1.5
Galileo Multimercado IX - Clase A,0
Galileo Multimercado IX - Clase B,0
Galileo Multimercado V - Clase A,1.5
Galileo Multimercado V - Clase B,0.6
Galileo Multimercado VI - Clase A,2.5
Galileo Multimercado VI - Clase B,1.75
Galileo Multimercado VII - Clase A,2
Galileo Multimercado VII - Clase B,1.8
Galileo Multimercado VIII - Clase A,2
Galileo Multimercado VIII - Clase B,1.8
GSS II - Clase A,0.775
GSS II - Clase B,1.25
IAM Lider Renta Pesos - Clase B,1.2
Integrae SC Retorno Total - Clase A,3
Integrae SC Retorno Total - Clase B,3
Lombard Dinámico I - Clase U,2.08
MAF Renta Balanceada 2 - Clase A,1.5
MAF Renta Balanceada 2 - Clase B,1.5
MAF Renta Balanceada 2 - Clase C,2.06
MAF Renta Balanceada 2 - Clase D,0.75
MAF Renta Balanceada 2 - Clase E,0.2
MAF Renta Balanceada 2 - Clase F,2.16
MEGAQM Acciones Latam - Clase A,2.5
MEGAQM Acciones Latam - Clase B,2.18
MEGAQM Estrategia 3 - Clase A,0
MEGAQM Estrategia 3 - Clase B,0
MEGAQM Estrategia 8 - Clase A,0
MEGAQM Estrategia 8 - Clase B,0
MEGAQM Estrategia 8 - Clase C,0
MEGAQM Estrategia 8 - Clase D,0
MEGAQM Renta Mixta - Clase A,2.5
MEGAQM Renta Mixta - Clase B,2.18
Optimum Global Balanced - Clase B,1.05
Parakeet Blend - Clase A,2
Parakeet Blend - Clase B,1.5
Parakeet Blend - Clase X Ley N° 27.743,0
Parakeet Cobalto Estrategia - Clase A,2.5
Parakeet Cobalto Estrategia - Clase B,2
Parakeet Multimercado III - Clase A,2.5
Parakeet Multimercado III - Clase B,2
Pionero Renta Mixta I - Clase A,2.945
Pionero Renta Mixta I - Clase B,2.25
Pionero Renta Mixta I - Clase C Ley N° 27.743,1.37
Pionero Renta Mixta I RP D.596 - Clase A,0
Pionero Renta Mixta I RP D.596 - Clase B,0
SBS Patrimonio IV - Clase A,2.5
SBS Patrimonio IV - Clase B,0.65
SBS Patrimonio IV - Clase Ley N° 27.743,2.5
SMR Fondo Comun de Inversion - Clase A,2.2
SMR Fondo Comun de Inversion - Clase B,2.2
SMR Fondo Comun de Inversion - Clase C,2.2
ST Renta Mixta - Clase A,3
ST Renta Mixta - Clase B,2.25
ST Renta Mixta - Clase C,2
ST Renta Mixta - Clase D,2
Tandem Balanceado I - Clase A,0
Tandem Balanceado I - Clase B,0
Tandem Balanceado I - Clase C,0
Tandem Balanceado I - Clase D,0
Tandem Balanceado II - Clase A,0
Tandem Balanceado II - Clase B,0
Tandem Balanceado II - Clase C,0
Tandem Balanceado II - Clase D,2
Tandem Crecimiento I - Clase A,0
Tandem Crecimiento I - Clase B,0
Tandem Crecimiento I - Clase C,0
Tandem Crecimiento I - Clase D,0
Toronto Trust Argentina 2021 - Clase A,2.7822
Toronto Trust Argentina 2021 - Clase B,2.5322
Toronto Trust Argentina 2021 - Clase C,2.0322
Toronto Trust Argentina 2021 - Clase D,2.0322
Toronto Trust Argentina 2021 - Clase Ley N° 27.743,2.7822
Toronto Trust Gestión - Clase B,0.7637
Toronto Trust Infraestructura - Clase A,2.2
Toronto Trust Infraestructura - Clase B,2
Toronto Trust Infraestructura - Clase C,1.9
Toronto Trust Infraestructura - Clase Ley N° 27.743,2.2
Alpha Renta Balanceada Global - Clase A,1.8283
Alpha Renta Balanceada Global - Clase B,3.8174
Alpha Renta Balanceada Global - Clase C,1.8283
Alpha Renta Balanceada Global - Clase D,3.8174
Alpha Renta Balanceada Global - Clase I,0.522
Delta Gestion I - Clase B,0.55
Delta Gestion II - Clase B,0
IEB Retorno Total - Clase A,0.6
IEB Retorno Total - Clase B,0.6
IEB Retorno Total - Clase C,0.6
IEB Retorno Total - Clase Ley N° 27.743,0.6
Max Estrategico I - Clase A,0
Max Estrategico I - Clase B,0
Max Estrategico I - Clase C,0
Max Estrategico I - Clase D,0.58
SBS Multiactivos - Clase A,2.5
SBS Multiactivos - Clase B,0.6
SBS Multiactivos - Clase Ley N° 27.743,2.5
SBS Tavelli Global - Clase P,0.6
Superfondo Combinado - Clase A,0.7319
Superfondo Combinado - Clase B,1.1179
Superfondo Combinado - Clase C,0.596
Superfondo Combinado - Clase D,0.646
Superfondo Multirenta - Clase A,0
Superfondo Multirenta - Clase B,0.4947
Superfondo Multirenta - Clase C,0
Superfondo Multirenta - Clase D,0
Superfondo Multirenta - Clase E,0
Superfondo Multirenta - Clase F,0
Superfondo Renta Balance - Clase A,0
Superfondo Renta Balance - Clase B,0.4947
Superfondo Renta Balance - Clase C,0
Superfondo Renta Balance - Clase D,0
Superfondo Renta Balance - Clase E,0.4947
Superfondo Renta Balance - Clase F,0
Superfondo Renta Mixta - Clase A,0
Superfondo Renta Mixta - Clase B,0.4947
Superfondo Renta Mixta - Clase C,0
Superfondo Renta Mixta - Clase D,0
Supergestion Balanceado - Clase A,0.496
Supergestion Balanceado - Clase B,0.471
Supergestion Balanceado - Clase C,0.425
Supergestion Balanceado - Clase D,0.45
Consultatio Renta Mixta - Clase A,2.75
Consultatio Renta Mixta - Clase B,1.55
Consultatio Renta Mixta - Clase C,0.37
FBA Retorno Total I - Clase A,1.629
FBA Retorno Total I - Clase B,1.379
GSS Energia - Clase A,1.24
GSS Energia - Clase B,2
GSS Energia - Clase Ley N° 27.743,2
GSS Retorno Total - Clase A,1.24
GSS Retorno Total - Clase B,2
GSS Retorno Total - Clase Ley N° 27.743,2
IEB Multiestrategia - Clase A,2.5
IEB Multiestrategia - Clase B,2.25
IEB Multiestrategia - Clase C,0
IEB Multiestrategia - Clase Ley N° 27.743,2.5
Optimum Global Investment Grade,3.4
Optimum Global Renta Mixta,1.05
Optimum Global Renta Mixta - Clase A,2.3
Supergestion - Clase A,0.7319
Supergestion - Clase B,1.1179
Supergestion - Clase C,0.575
Supergestion - Clase D,0.575
Supergestion - Clase F,0.3085
Supergestion - Clase H,1.4324
Supergestion - Clase I,1.1074
Supergestion - Clase J,0
Fima Mix I - Clase A,1.785
Fima Mix I - Clase B,1.5725
Fima Mix I - Clase C,0.85
Fima Mix II - Clase A,1.785
Fima Mix II - Clase B,1.5725
Fima Mix II - Clase C,0.85
Pionero Argentina Bicentenario - Clase A,0
Pionero Argentina Bicentenario - Clase B,0.63
Pionero Argentina Bicentenario - Clase C,0
Argenfunds Renta Mixta Plus - Clase E,2
Argenfunds Renta Mixta Plus - Clase F,2
Compass Renta Mixta VII - Clase  B,1.5
Compass Renta Mixta VII - Clase A,1.5
Compass Renta Mixta VII - Clase C,1.5
FBA Renta Mixta II - Clase B,1.879
FBA Renta Mixta III - Clase B,1.879
Renta Mixta Dolar Estadounidense,nan
Axis Estrategia Dólar 2 - Clase B,0.75
Axis Estrategia Dólar 2 - Clase E,0.75
Axis Estrategia Dólar 2 - Clase F,0.75
Axis Estrategia Dólar 2 - Clase X Ley N° 27.743,0.75
Axis Estrategia Dólar 2 - Clase Y Ley N° 27.743,0.75
Axis Estrategia Dólar 3 - Clase A,1.3
Axis Estrategia Dólar 3 - Clase B,1.3
Axis Estrategia Dólar 3 - Clase C,1
Axis Estrategia Dólar 3 - Clase X Ley N° 27.743,1
Axis Estrategia Dólar 3 - Clase Y Ley N° 27.743,1
Axis S&C Renta Fija Dólar Low Volatility - Clase A,0.75
FBA Renta Mixta Dólar I - Clase B,0.479
Pionero Dólar Dinámico - Clase A,0.72
Pionero Dólar Dinámico - Clase B,0.72
Pionero Dólar Dinámico - Clase C Ley N° 27.743,0
Probolsa Dolares,1.2
Probolsa Dolares RP D.596,1.2
ST Retorno Total Dolares - Clase A,1
ST Retorno Total Dolares - Clase B,0.9
ST Retorno Total Dolares - Clase C,0.9
ST Retorno Total Dolares - Clase D,0.8
Tandem Global II - Clase A,0
Tandem Global II - Clase B,0
Tandem Global II - Clase C,0
Tandem Global II - Clase D,1.5
Tandem Global III - Clase A,0
Tandem Global III - Clase B,0
Tandem Global III - Clase C,0
Tandem Global III - Clase D,0
Tandem Global IV - Clase A,0
Tandem Global IV - Clase B,0
Tandem Global IV - Clase C,0
Tandem Global IV - Clase D,0
Transatlantica Estrategia Dólar - Clase A,1.5
Transatlantica Estrategia Dólar - Clase B,1.5
Transatlantica Estrategia Dólar - Clase C,1.5
Transatlantica Estrategia Dólar - Clase F,1.5
Transatlantica Estrategia Dólar - Clase G,1.5
Transatlantica Estrategia Dólar - Clase X Ley N° 27.743,1.5
Transatlantica Estrategia Dólar - Clase Y Ley N° 27.743,1.5
Delta Multimercado I - Clase F,2.5
Delta Multimercado I - Clase G,2
Gainvest Performance - Clase A,2.5
Gainvest Performance - Clase B,2.5
Gainvest Performance - Clase C,0
Gainvest Performance II - Clase A,0
Gainvest Performance II - Clase B,1.75
Gainvest Performance II - Clase C,0
Mabra BAVSA Renta Dólar - Clase A,1.2
Mabra BAVSA Renta Dólar - Clase B,1.2
Mabra BAVSA Renta Dólar - Clase C,1.2
Mabra BAVSA Renta Dólar - Clase D Ley Nº 27.743,1.2
MAF Mix I - Clase  Art. 11 Decreto 99/2019 y mod,0.55
MAF Mix I - Clase D,0.2548
MAF Mix I - Clase RAP Ley N° 27.743,0.2548
MAF Mix II -  Clase RAP Ley N° 27.743,1.9
MAF Mix II - Clase D,1.9
MAF Mix II - Clase E,1.9
MAF Renta Balanceada - Clase D,1
MAF Renta Balanceada - Clase E,1
MEGAQM Gestión Balanceada Dólares - Clase A,0
MEGAQM Gestión Balanceada Dólares - Clase B,1.2
SBS Renta Mixta III - Clase A,3
SBS Renta Mixta III - Clase B,0.6
SBS Renta Mixta III - Clase Ley N° 27.743,3
SBS Renta Mixta V - Clase B,1.5
SBS Renta Patrimonio - Clase A,2.5
SBS Renta Patrimonio - Clase B,2
SBS Renta Patrimonio - Clase Ley N° 27.743,2.5
Schroder Renta Global Dos - Clase B Dólares,0.52
Schroder Retorno Absoluto Dolares - Clase B,2.5
Schroder Retorno Total - Clase A,2.75
Schroder Retorno Total - Clase B,1.6
Schroder Retorno Total - Clase C,2
Schroder Retorno Total - Clase D Ley N° 27.743,2.75
Apolo Dólares - Clase B,1.5
Apolo Dólares - Clase C,1.5
Cocos Renta Dólar - Clase A - Ley N° 27.743,2
Cocos Renta Dólar - Clase B - Ley N° 27.743,2
Compass Renta Mixta - Clase D,0
Compass Renta Mixta - Clase E,0.5032
Compass Renta Mixta - Clase F,0
Compass Renta Plus - Clase D,3
Compass Renta Plus - Clase E,0.55
Compass Renta Plus - Clase F,0.55
MAF Gestión Activa - Clase E,2.24
MAF Gestión Activa - Clase F,2.24
Allaria Dólar Ahorro Plus - Clase A,1.25
Allaria Dólar Ahorro Plus - Clase B,1
Allaria Dólar Ahorro Plus - Clase C,0.9
Allaria Dólar Ahorro Plus - Clase Ley N° 27.743,1.25
Allaria Renta Mixta Dólares - Clase A,1
Allaria Renta Mixta Dólares - Clase B,1
Allaria Renta Mixta Dólares - Clase C,1
Consultatio Gestion II - Clase A,2.2
Consultatio Gestion II - Clase B,1.1
Consultatio Gestion II - Clase C,1.1
Consultatio Gestion II - Clase D,0.6
Fima Mix Dólares - Clase A,0.85
Fima Mix Dólares - Clase B,0.7225
Fima Mix Dólares - Clase C,0.595
Fima Mix Dólares - Clase L Ley N° 27.743,0.85
IAM Renta Global - Clase A,0.95
IAM Renta Global - Clase B,0.95
IAM Renta Global - Clase C,0.95
IAM Renta Global - Clase D,0.95
IAM Renta Global - Clase Ley Nº 27.743,0.95
Integrae SC Retorno Total - Clase C,3
Integrae SC Retorno Total - Clase D,3
MAF Renta Balanceada 2 - Clase G,2.26
MAF Renta Balanceada 2 - Clase H,2.26
Tandem Global - Clase A,0
Tandem Global - Clase B,0
Tandem Global - Clase C,0
Tandem Global - Clase D,1
Tandem Global - Clase E Ley N° 27.743,0
Toronto Trust Ahorro Dólar - Clase A,0.55
Toronto Trust Ahorro Dólar - Clase B,0.45
Toronto Trust Ahorro Dólar - Clase C,0.5
Toronto Trust Ahorro Dólar - Clase D,0.35
Toronto Trust Renta Dólar - Clase A,0.85
Toronto Trust Renta Dólar - Clase B,0.75
Toronto Trust Renta Dólar - Clase C,0.7
Toronto Trust Renta Dólar - Clase Ley N° 27.743,0.85
Wise Capital Global Markets - Clase A,2.5
Wise Capital Global Markets - Clase B,2.5
Wise Capital Global Markets - Clase C,2.5
Wise Capital Global Markets - Clase H Ley N° 27.743,2.5
Gainvest Global IV - Clase A,1
Gainvest Global IV - Clase B,1.9
IEB Retorno Total - Clase D,0.6
IEB Retorno Total - Clase E,0.6
IEB Retorno Total - Clase F,0
Max Estrategico III - Clase A,0
Max Estrategico III - Clase B,0
Max Estrategico III - Clase C,0
Max Estrategico III - Clase D,0
Max Estrategico III - Clase E Ley N° 27.743,0
Max Estrategico IV - Clase A,0
Max Estrategico IV - Clase B,0
Max Estrategico IV - Clase C,0
Max Estrategico IV - Clase D,0
Max Estrategico IV - Clase E Ley N° 27.743,0
IEB Multiestrategia - Clase D,6
IEB Multiestrategia - Clase E,0
IEB Multiestrategia - Clase F,6
Supergestion - Clase K,0
Galileo Multi Strategy - Clase A,2
Galileo Multi Strategy - Clase B,1.25
Galileo Multi Strategy - Clase C Ley N° 27.743,2
Galileo Multi Strategy II - Clase A,1.5
Galileo Multi Strategy II - Clase B,1.25
Galileo Multi Strategy II - Clase C Ley N°27.743,1.5
Galileo Multi Strategy II - Clase D Ley N°27.743,1.25
Schroder Retorno Total Cuatro - Clase A,0.8
Schroder Retorno Total Cuatro - Clase B,0.5
Schroder Retorno Total Cuatro - Clase D Ley N° 27.743,0.8
Schroder Retorno Total Dos - Clase A,0
Schroder Retorno Total Dos - Clase B,0.61
Schroder Retorno Total Dos - Clase C,2
Argenfunds Renta Mixta Plus - Clase A,1.5
Argenfunds Renta Mixta Plus - Clase B,0.5
Premier Global Dolares - Clase A,0
Premier Global Dolares - Clase B,0
Premier Global Dolares - Clase C,0
Quiron Latam en U$S - Clase A,3
Quiron Latam en U$S - Clase B,3
Quiron Latam en U$S - Clase Ley Nº 27.743,3
SBS Renta Mixta - Clase A,0.75
SBS Renta Mixta - Clase B,0.75
SBS Renta Mixta - Clase Ley N° 27.743,0.75
Renta Mixta Dolar Estadounidense Billete,nan
Axis Estrategia Dólar 5 - Clase A,1.2
Axis Estrategia Dólar 5 - Clase B,0.8
Axis Estrategia Dólar 5 - Clase C,0.5
Axis Estrategia Dólar 6 - Clase A,1.25
Axis Estrategia Dólar 6 - Clase B,1.25
Axis Estrategia Dólar 6 - Clase C,0.3
Axis Estrategia Dólar 7	- Clase A,1.3
Axis Estrategia Dólar 7	- Clase B,1.3
Axis Estrategia Dólar 7	- Clase C,1.3
Pionero Dólar Dinámico - Clase D,0.72
Pionero Dólar Dinámico - Clase E,0
Compass Renta Mixta Dólares III	- Clase A,2
Compass Renta Mixta Dólares III	- Clase B,1.5
Compass Renta Mixta Dólares III	- Clase C,1.5
Compass Renta Mixta Dólares III - Clase H Ley N° 27.743,2
Superfondo Multiactivos Dólar - Clase A,0
Superfondo Multiactivos Dólar - Clase B,0
Superfondo Multiactivos Dólar - Clase C,0
Superfondo Multiactivos Dólar - Clase D,0
Superfondo Multiactivos Dólar - Clase E,0
Superfondo Multiactivos Dólar - Clase F,0
Compass Renta Mixta Dólares II - Clase A,1.5
Compass Renta Mixta Dólares II - Clase B,1.5
Compass Renta Mixta Dólares II - Clase C,1.5
PyMes Peso Argentina,nan
Axis Rosental FCI Abierto Pymes - Clase A,2.5
Axis Rosental FCI Abierto Pymes - Clase B,2
Ecopymes FCI Abierto Pymes - Clase A,5
