Fondo,Honorarios Adm. SG
Gainvest FF - Clase B,2.5
Gainvest FF - Clase C,1
Gainvest Renta Fija - Clase A,2.3
Gainvest Renta Fija - Clase B,2.3
Gainvest Renta Fija - Clase C,1.8
Galileo Ahorro - Clase A,2.5
Galileo Ahorro - Clase B,2
Galileo Multimercado II - Clase A,2.5
Galileo Multimercado II - Clase B,2
Gestionar Renta Fija - Clase A,1.7
Gestionar Renta Fija - Clase B,1.7
HF Retorno Total - Clase I,0.68
IAM Renta Capital - Clase A,2.98
IAM Renta Capital - Clase B,2.91
IAM Renta Capital - Clase C,2.08
IAM Renta Capital - Clase D,1.93
IAM Renta Capital - Clase Ley N° 27.743,2.98
IAM Renta Plus - Clase A,2.78
IAM Renta Plus - Clase B,2.41
IAM Renta Plus - Clase C,1.98
IAM Renta Plus - Clase D,1.8
IAM Renta Plus - Clase E,1.5
IAM Renta Plus - Clase F,1.5
IAM Renta Plus - Clase Ley N° 27.743,2.78
IEB Ahorro Plus - Clase A,2.8
IEB Ahorro Plus - Clase B,2
IEB Ahorro Plus - Clase C,1
IEB Ahorro Plus - Clase Ley N° 27.743,2.8
Integrae Renta Fija - Clase A,3
Integrae Renta Fija - Clase B,2
Integrae Renta Fija Crecimiento - Clase A,0
Integrae Renta Fija Crecimiento - Clase B,0
Integrae Renta Fija Crecimiento - Clase C,0
Julio A. Roca Ahorro Pesos,1.8
Lombard Ahorro Plus II - Clase A,0.64
Lombard Capital,2.24
Lombard Capital Fisicos,0
Lombard Capital JYF,0
MAF Ahorro Pesos - Clase A,2.1
MAF Ahorro Pesos - Clase B,1.9
MAF Ahorro Pesos - Clase RAP Ley N° 27.743,0
MAF Ahorro Plus - Clase A,6
MAF Ahorro Plus - Clase B,0.65
MAF Ahorro Plus - Clase C,1.86
MAF Ahorro Plus - Clase D,0.44
MAF Estrategia - Clase A,1.2
MAF Gestión Activa III - Clase A,0.3
MAF Gestión Activa III - Clase B,0.3
MAF Pesos Plus - Clase A,2.5
MAF Pesos Plus - Clase B,1.95
MAF Pesos Plus - Clase C,1.95
MAF Pesos Plus - Clase RAP Ley N° 27.743,2.5
Max Ahorro Pesos - Clase A,2.3
Max Ahorro Pesos - Clase B,1.8
Max Ahorro Pesos - Clase C,1.6
Max Ahorro Pesos - Clase D,0
Max Ahorro Pesos - Clase E Ley N° 27.743,2.3
Max Dinamico I - Clase A,0
Max Dinamico I - Clase B,0
Max Dinamico I - Clase C,0
Max Dinamico I - Clase D,1.4
Max Dinamico II - Clase A,2.08
Max Dinamico II - Clase B,1.68
Max Dinamico II - Clase C,0
Max Dinamico II - Clase D,0
Max Dinamico II - Clase E Ley N° 27.743,2.08
Max Dinamico III - Clase A,0
Max Dinamico III - Clase B,0.6
Max Dinamico III - Clase C,0
Max Dinamico III - Clase D,0
Max Dinamico IV - Clase A,0
Max Dinamico IV - Clase B,0
Max Dinamico IV - Clase C,0
Max Dinamico IV - Clase D,1
Max Dinamico V - Clase A,0
Max Dinamico V - Clase B,0
Max Dinamico V - Clase C,0
Max Dinamico V - Clase D,2.379
Max Estrategico V - Clase A,2.25
Max Estrategico V - Clase B,0
Max Estrategico V - Clase C,0
Max Estrategico V - Clase D,2.25
Max Multigestión I - Clase A,0
Max Multigestión I - Clase B,0
Max Multigestión I - Clase C,0
Max Multigestión I - Clase D,0.55
Max Multigestión II - Clase A,0
Max Multigestión II - Clase B,0
Max Multigestión II - Clase C,0
Max Multigestión II - Clase D,0
MEGAQM Ahorro - Clase A,2.7
MEGAQM Ahorro - Clase B,2.18
MEGAQM Estrategia 2 - Clase B,0.8
MEGAQM Estrategia 4 - Clase A,0
MEGAQM Estrategia 4 - Clase B,1.4
MEGAQM Estrategia 6 - Clase A,0
MEGAQM Estrategia 6 - Clase B,0
MEGAQM Performance II - Clase A,2.5
MEGAQM Performance II - Clase B,2.28
MEGAQM Performance II - Clase C,1.5
Mills M1000 Balanceado Pesos - Clase XDA,1.25
Mills M1000 Balanceado Pesos - Clase XDB1,3
Mills Renta Fija Pesos - Clase XDA,2
Mills Renta Fija Pesos - Clase XDB1,1.75
Mills Renta Fija Pesos - Clase XDB2,1.6
MP Ahorro - Clase A,1.72
MP Ahorro - Clase B,0.07
MP Ahorro - Clase C,1.02
Novus Liquidez Plus - Clase A,3
Novus Liquidez Plus - Clase B,2.2
Novus Liquidez Plus - Clase C,2.2
Novus Liquidez Plus - Clase D,2.2
Novus Liquidez Plus - Clase E,3
Novus Liquidez Plus - Clase F,2.2
Novus Liquidez Plus - Clase G,3
Novus Liquidez Plus - Clase H,2.2
Novus Liquidez Plus - Clase I Ley N° 27.743,3
Optimum Global Opportunity - Clase A,0
Optimum Global Opportunity - Clase B,0.5
Optimum Multi Asset Fund - Clase A,2.89
Optimum Multi Asset Fund - Clase B,2.4
Optimum Multi Asset Fund - Clase C,1
Optimum Renta Fija Argentina,1.45
Optimum Renta Fija Argentina - Clase B,2.115
Optimum Total Return - Clase A,1
Optimum Total Return - Clase B,0.5
Parakeet Dinámico - Clase A,1
Parakeet Dinámico - Clase B,1
Parakeet Dinámico - Clase X Ley N° 27.743,0
Parakeet Multimercado - Clase A,3
Parakeet Multimercado - Clase B,2.5
Parakeet Multimercado - Clase X Ley N° 27.743,3
Parakeet Premium - Clase A,1.5
Parakeet Premium - Clase B,1.5
Parakeet Premium - Clase X Ley N° 27.743,1.5
Parakeet Renta Pesos - Clase A,2.5
Parakeet Renta Pesos - Clase B,2
Parakeet Renta Pesos - Clase X Ley N° 27.743,2.5
Pellegrini Renta Fija - Clase A,2.5
Pellegrini Renta Fija - Clase B,1.9
Pellegrini Renta Fija III - Clase A,2.5
Pellegrini Renta Fija III - Clase B,2.25
Pellegrini Renta Fija Publica - Clase A,2
